cyclecount,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32
18,0.657304,1.282665,1.845695,2.319031,2.679673,2.910094,2.999096,2.942356,2.742629,2.409623,1.959519,1.41419,0.800138,0.147203,-0.512886,-1.14805,-1.727425,-2.222853,-2.610261,-2.870821,-2.991871,-2.96753,-2.798978,-2.494409,-2.068622,-1.542308,-0.941045,-0.294051,0.367232,1.01067,1.604993,2.12132
19,0.693174,1.348834,1.931495,2.409623,2.757342,2.955833,2.994354,2.870821,2.591919,2.172741,1.635975,1.01067,0.330667,-0.367232,-1.045256,-1.666711,-2.197963,-2.610261,-2.881292,-2.996386,-2.949316,-2.742629,-2.387511,-1.90318,-1.315849,-0.657304,0.036815,0.728941,1.381616,1.959519,2.431372,2.771639
20,0.728941,1.41419,2.014677,2.494409,2.824632,2.985554,2.96753,2.771639,2.409623,1.90318,1.282665,0.585271,-0.147203,-0.870854,-1.542308,-2.12132,-2.573186,-2.870821,-2.996386,-2.942356,-2.711968,-2.319031,-1.787098,-1.14805,-0.440191,0.294051,1.01067,1.666711,2.222853,2.645764,2.910094,3.0
21,0.764597,1.478695,2.095129,2.573186,2.881292,2.999096,2.91882,2.645764,2.197963,1.604993,0.906018,0.147203,-0.621334,-1.348834,-1.987247,-2.494409,-2.836822,-2.991871,-2.949316,-2.711968,-2.295502,-1.727425,-1.045256,-0.294051,0.476574,1.215724,1.874578,2.409623,2.785518,2.977439,2.972708,2.771639
22,0.800138,1.542308,2.172741,2.645764,2.927106,2.996386,2.848585,2.494409,1.959519,1.282665,0.512886,-0.294051,-1.079685,-1.787098,-2.365039,-2.771639,-2.977439,-2.96753,-2.742629,-2.319031,-1.727425,-1.01067,-0.220694,0.585271,1.348834,2.014677,2.534561,2.870821,2.999096,2.910094,2.610261,2.12132
23,0.835559,1.604993,2.247409,2.711968,2.961904,2.977439,2.757342,2.319031,1.697195,0.941045,0.110422,-0.728941,-1.510615,-2.172741,-2.662919,-2.942356,-2.988938,-2.798978,-2.387511,-1.787098,-1.045256,-0.220694,0.621334,1.41419,2.095129,2.610261,2.91882,2.996386,2.836822,2.452754,1.874578,1.14805
24,0.870854,1.666711,2.319031,2.771639,2.985554,2.942356,2.645764,2.12132,1.41419,0.585271,-0.294051,-1.14805,-1.90318,-2.494409,-2.870821,-3.0,-2.870821,-2.494409,-1.90318,-1.14805,-0.294051,0.585271,1.41419,2.12132,2.645764,2.942356,2.985554,2.771639,2.319031,1.666711,0.870854,0.0
25,0.906018,1.727425,2.387511,2.824632,2.997967,2.891328,2.514674,1.90318,1.113952,0.220694,-0.693174,-1.542308,-2.247409,-2.742629,-2.981721,-2.942356,-2.62821,-2.068622,-1.315849,-0.440191,0.476574,1.348834,2.095129,2.645764,2.949316,2.977439,2.727504,2.222853,1.510615,0.657304,-0.257392,-1.14805
26,0.941045,1.787098,2.452754,2.870821,2.999096,2.824632,2.365039,1.666711,0.800138,-0.147203,-1.079685,-1.90318,-2.534561,-2.910094,-2.991871,-2.771639,-2.271627,-1.542308,-0.657304,0.294051,1.215724,2.014677,2.610261,2.942356,2.977439,2.711968,2.172741,1.41419,0.512886,-0.440191,-1.348834,-2.12132
27,0.975931,1.845695,2.514674,2.910094,2.988938,2.742629,2.197963,1.41419,0.476574,-0.512886,-1.446551,-2.222853,-2.757342,-2.991871,-2.900929,-2.494409,-1.816533,-0.941045,0.036815,1.01067,1.874578,2.534561,2.91882,2.985554,2.727504,2.172741,1.381616,0.440191,-0.54912,-1.478695,-2.247409,-2.771639
28,1.01067,1.90318,2.573186,2.942356,2.96753,2.645764,2.014677,1.14805,0.147203,-0.870854,-1.787098,-2.494409,-2.910094,-2.985554,-2.711968,-2.12132,-1.282665,-0.294051,0.728941,1.666711,2.409623,2.870821,2.996386,2.771639,2.222853,1.41419,0.440191,-0.585271,-1.542308,-2.319031,-2.824632,-3.0
29,1.045256,1.959519,2.62821,2.96753,2.934952,2.534561,1.816533,0.870854,-0.183962,-1.215724,-2.095129,-2.711968,-2.988938,-2.891328,-2.431372,-1.666711,-0.693174,0.367232,1.381616,2.222853,2.785518,2.999096,2.836822,2.319031,1.510615,0.512886,-0.54912,-1.542308,-2.342212,-2.848585,-2.997967,-2.771639
30,1.079685,2.014677,2.679673,2.985554,2.891328,2.409623,1.604993,0.585271,-0.512886,-1.542308,-2.365039,-2.870821,-2.991871,-2.711968,-2.068622,-1.14805,-0.073624,1.01067,1.959519,2.645764,2.977439,2.910094,2.452754,1.666711,0.657304,-0.440191,-1.478695,-2.319031,-2.848585,-2.996386,-2.742629,-2.12132
31,1.113952,2.068622,2.727504,2.996386,2.836822,2.271627,1.381616,0.294051,-0.835559,-1.845695,-2.591919,-2.96753,-2.91882,-2.452754,-1.635975,-0.585271,0.54912,1.604993,2.431372,2.910094,2.972708,2.610261,1.874578,0.870854,-0.257392,-1.348834,-2.247409,-2.824632,-2.997967,-2.742629,-2.095129,-1.14805
32,1.14805,2.12132,2.771639,3.0,2.771639,2.12132,1.14805,0.0,-1.14805,-2.12132,-2.771639,-3.0,-2.771639,-2.12132,-1.14805,-0.0,1.14805,2.12132,2.771639,3.0,2.771639,2.12132,1.14805,0.0,-1.14805,-2.12132,-2.771639,-3.0,-2.771639,-2.12132,-1.14805,-0.0
33,1.181976,2.172741,2.812017,2.996386,2.696023,1.959519,0.906018,-0.294051,-1.446551,-2.365039,-2.900929,-2.96753,-2.554066,-1.727425,-0.621334,0.585271,1.697195,2.534561,2.961904,2.910094,2.387511,1.478695,0.330667,-0.870854,-1.931495,-2.679673,-2.994354,-2.824632,-2.197963,-1.215724,-0.036815,1.14805
34,1.215724,2.222853,2.848585,2.985554,2.610261,1.787098,0.657304,-0.585271,-1.727425,-2.573186,-2.977439,-2.870821,-2.271627,-1.282665,-0.073624,1.14805,2.172741,2.824632,2.991871,2.645764,1.845695,0.728941,-0.512886,-1.666711,-2.534561,-2.96753,-2.891328,-2.319031,-1.348834,-0.147203,1.079685,2.12132
35,1.249289,2.271627,2.881292,2.96753,2.514674,1.604993,0.403742,-0.870854,-1.987247,-2.742629,-2.999774,-2.711968,-1.931495,-0.800138,0.476574,1.666711,2.554066,2.977439,2.859918,2.222853,1.181976,-0.073624,-1.315849,-2.319031,-2.900929,-2.955833,-2.473768,-1.542308,-0.330667,0.941045,2.041803,2.771639
36,1.282665,2.319031,2.910094,2.942356,2.409623,1.41419,0.147203,-1.14805,-2.222853,-2.870821,-2.96753,-2.494409,-1.542308,-0.294051,1.01067,2.12132,2.824632,2.985554,2.573186,1.666711,0.440191,-0.870854,-2.014677,-2.771639,-2.996386,-2.645764,-1.787098,-0.585271,0.728941,1.90318,2.711968,3.0
37,1.315849,2.365039,2.934952,2.910094,2.295502,1.215724,-0.110422,-1.41419,-2.431372,-2.955833,-2.881292,-2.222853,-1.113952,0.220694,1.510615,2.494409,2.972708,2.848585,2.147192,1.01067,-0.330667,-1.604993,-2.554066,-2.985554,-2.812017,-2.068622,-0.906018,0.440191,1.697195,2.610261,2.994354,2.771639
38,1.348834,2.409623,2.955833,2.870821,2.172741,1.01067,-0.367232,-1.666711,-2.610261,-2.996386,-2.742629,-1.90318,-0.657304,0.728941,1.959519,2.771639,2.991871,2.573186,1.604993,0.294051,-1.079685,-2.222853,-2.891328,-2.942356,-2.365039,-1.282665,0.073624,1.41419,2.452754,2.96753,2.848585,2.12132
39,1.381616,2.452754,2.972708,2.824632,2.041803,0.800138,-0.621334,-1.90318,-2.757342,-2.991871,-2.554066,-1.542308,-0.183962,1.215724,2.342212,2.942356,2.881292,2.172741,0.975931,-0.440191,-1.757394,-2.679673,-2.999774,-2.645764,-1.697195,-0.367232,1.045256,2.222853,2.900929,2.927106,2.295502,1.14805
40,1.41419,2.494409,2.985554,2.771639,1.90318,0.585271,-0.870854,-2.12132,-2.870821,-2.942356,-2.319031,-1.14805,0.294051,1.666711,2.645764,3.0,2.645764,1.666711,0.294051,-1.14805,-2.319031,-2.942356,-2.870821,-2.12132,-0.870854,0.585271,1.90318,2.771639,2.985554,2.494409,1.41419,0.0
41,1.446551,2.534561,2.994354,2.711968,1.757394,0.367232,-1.113952,-2.319031,-2.949316,-2.848585,-2.041803,-0.728941,0.764597,2.068622,2.859918,2.942356,2.295502,1.079685,-0.403742,-1.787098,-2.727504,-2.991871,-2.514674,-1.41419,0.036815,1.478695,2.554066,2.996386,2.696023,1.727425,0.330667,-1.14805
42,1.478695,2.573186,2.999096,2.645764,1.604993,0.147203,-1.348834,-2.494409,-2.991871,-2.711968,-1.727425,-0.294051,1.215724,2.409623,2.977439,2.771639,1.845695,0.440191,-1.079685,-2.319031,-2.955833,-2.824632,-1.959519,-0.585271,0.941045,2.222853,2.927106,2.870821,2.068622,0.728941,-0.800138,-2.12132
43,1.510615,2.610261,2.999774,2.573186,1.446551,-0.073624,-1.573769,-2.645764,-2.997967,-2.534561,-1.381616,0.147203,1.635975,2.679673,2.994354,2.494409,1.315849,-0.220694,-1.697195,-2.711968,-2.988938,-2.452754,-1.249289,0.294051,1.757394,2.742629,2.981721,2.409623,1.181976,-0.367232,-1.816533,-2.771639
44,1.542308,2.645764,2.996386,2.494409,1.282665,-0.294051,-1.787098,-2.771639,-2.96753,-2.319031,-1.01067,0.585271,2.014677,2.870821,2.910094,2.12132,0.728941,-0.870854,-2.222853,-2.942356,-2.824632,-1.90318,-0.440191,1.14805,2.409623,2.985554,2.711968,1.666711,0.147203,-1.41419,-2.573186,-3.0
45,1.573769,2.679673,2.988938,2.409623,1.113952,-0.512886,-1.987247,-2.870821,-2.900929,-2.068622,-0.621334,1.01067,2.342212,2.977439,2.727504,1.666711,0.110422,-1.478695,-2.62821,-2.996386,-2.473768,-1.215724,0.403742,1.90318,2.836822,2.927106,2.147192,0.728941,-0.906018,-2.271627,-2.961904,-2.771639
46,1.604993,2.711968,2.977439,2.319031,0.941045,-0.728941,-2.172741,-2.942356,-2.798978,-1.787098,-0.220694,1.41419,2.610261,2.996386,2.452754,1.14805,-0.512886,-2.014677,-2.891328,-2.870821,-1.959519,-0.440191,1.215724,2.494409,2.999096,2.573186,1.348834,-0.294051,-1.845695,-2.824632,-2.927106,-2.12132
47,1.635975,2.742629,2.961904,2.222853,0.764597,-0.941045,-2.342212,-2.985554,-2.662919,-1.478695,0.183962,1.787098,2.812017,2.927106,2.095129,0.585271,-1.113952,-2.452754,-2.997967,-2.573186,-1.315849,0.367232,1.931495,2.870821,2.881292,1.959519,0.403742,-1.282665,-2.554066,-2.999096,-2.473768,-1.14805
48,1.666711,2.771639,2.942356,2.12132,0.585271,-1.14805,-2.494409,-3.0,-2.494409,-1.14805,0.585271,2.12132,2.942356,2.771639,1.666711,0.0,-1.666711,-2.771639,-2.942356,-2.12132,-0.585271,1.14805,2.494409,3.0,2.494409,1.14805,-0.585271,-2.12132,-2.942356,-2.771639,-1.666711,-0.0
49,1.697195,2.798978,2.91882,2.014677,0.403742,-1.348834,-2.62821,-2.985554,-2.295502,-0.800138,0.975931,2.409623,2.997967,2.534561,1.181976,-0.585271,-2.147192,-2.955833,-2.727504,-1.542308,0.183962,1.845695,2.859918,2.870821,1.874578,0.220694,-1.510615,-2.711968,-2.961904,-2.172741,-0.621334,1.14805
50,1.727425,2.824632,2.891328,1.90318,0.220694,-1.542308,-2.742629,-2.942356,-2.068622,-0.440191,1.348834,2.645764,2.977439,2.222853,0.657304,-1.14805,-2.534561,-2.996386,-2.365039,-0.870854,0.941045,2.409623,2.999096,2.494409,1.079685,-0.728941,-2.271627,-2.985554,-2.610261,-1.282665,0.512886,2.12132
51,1.757394,2.848585,2.859918,1.787098,0.036815,-1.727425,-2.836822,-2.870821,-1.816533,-0.073624,1.697195,2.824632,2.881292,1.845695,0.110422,-1.666711,-2.812017,-2.891328,-1.874578,-0.147203,1.635975,2.798978,2.900929,1.90318,0.183962,-1.604993,-2.785518,-2.910094,-1.931495,-0.220694,1.573769,2.771639
52,1.787098,2.870821,2.824632,1.666711,-0.147203,-1.90318,-2.910094,-2.771639,-1.542308,0.294051,2.014677,2.942356,2.711968,1.41419,-0.440191,-2.12132,-2.96753,-2.645764,-1.282665,0.585271,2.222853,2.985554,2.573186,1.14805,-0.728941,-2.319031,-2.996386,-2.494409,-1.01067,0.870854,2.409623,3.0
53,1.816533,2.891328,2.785518,1.542308,-0.330667,-2.068622,-2.961904,-2.645764,-1.249289,0.657304,2.295502,2.996386,2.473768,0.941045,-0.975931,-2.494409,-2.994354,-2.271627,-0.621334,1.282665,2.662919,2.955833,2.041803,0.294051,-1.573769,-2.798978,-2.881292,-1.787098,0.036815,1.845695,2.900929,2.771639
54,1.845695,2.910094,2.742629,1.41419,-0.512886,-2.222853,-2.991871,-2.494409,-0.941045,1.01067,2.534561,2.985554,2.172741,0.440191,-1.478695,-2.771639,-2.891328,-1.787098,0.073624,1.90318,2.927106,2.711968,1.348834,-0.585271,-2.271627,-2.996386,-2.452754,-0.870854,1.079685,2.573186,2.977439,2.12132
55,1.874578,2.927106,2.696023,1.282665,-0.693174,-2.365039,-2.999774,-2.319031,-0.621334,1.348834,2.727504,2.910094,1.816533,-0.073624,-1.931495,-2.942356,-2.662919,-1.215724,0.764597,2.409623,2.997967,2.271627,0.54912,-1.41419,-2.757342,-2.891328,-1.757394,0.147203,1.987247,2.955833,2.62821,1.14805
56,1.90318,2.942356,2.645764,1.14805,-0.870854,-2.494409,-2.985554,-2.12132,-0.294051,1.666711,2.870821,2.771639,1.41419,-0.585271,-2.319031,-3.0,-2.319031,-0.585271,1.41419,2.771639,2.870821,1.666711,-0.294051,-2.12132,-2.985554,-2.494409,-0.870854,1.14805,2.645764,2.942356,1.90318,0.0
57,1.931495,2.955833,2.591919,1.01067,-1.045256,-2.610261,-2.949316,-1.90318,0.036815,1.959519,2.961904,2.573186,0.975931,-1.079685,-2.62821,-2.942356,-1.874578,0.073624,1.987247,2.96753,2.554066,0.941045,-1.113952,-2.645764,-2.934952,-1.845695,0.110422,2.014677,2.972708,2.534561,0.906018,-1.14805
58,1.959519,2.96753,2.534561,0.870854,-1.215724,-2.711968,-2.891328,-1.666711,0.367232,2.222853,2.999096,2.319031,0.512886,-1.542308,-2.848585,-2.771639,-1.348834,0.728941,2.452754,2.985554,2.068622,0.147203,-1.845695,-2.942356,-2.610261,-1.01067,1.079685,2.645764,2.927106,1.787098,-0.220694,-2.12132
59,1.987247,2.977439,2.473768,0.728941,-1.381616,-2.798978,-2.812017,-1.41419,0.693174,2.452754,2.981721,2.014677,0.036815,-1.959519,-2.972708,-2.494409,-0.764597,1.348834,2.785518,2.824632,1.446551,-0.657304,-2.431372,-2.985554,-2.041803,-0.073624,1.931495,2.96753,2.514674,0.800138,-1.315849,-2.771639
60,2.014677,2.985554,2.409623,0.585271,-1.542308,-2.870821,-2.711968,-1.14805,1.01067,2.645764,2.910094,1.666711,-0.440191,-2.319031,-2.996386,-2.12132,-0.147203,1.90318,2.96753,2.494409,0.728941,-1.41419,-2.824632,-2.771639,-1.282665,0.870854,2.573186,2.942356,1.787098,-0.294051,-2.222853,-3.0
61,2.041803,2.991871,2.342212,0.440191,-1.697195,-2.927106,-2.591919,-0.870854,1.315849,2.798978,2.785518,1.282665,-0.906018,-2.610261,-2.91882,-1.666711,0.476574,2.365039,2.988938,2.014677,-0.036815,-2.068622,-2.994354,-2.319031,-0.403742,1.727425,2.934952,2.573186,0.835559,-1.348834,-2.812017,-2.771639
62,2.068622,2.996386,2.271627,0.294051,-1.845695,-2.96753,-2.452754,-0.585271,1.604993,2.910094,2.610261,0.870854,-1.348834,-2.824632,-2.742629,-1.14805,1.079685,2.711968,2.848585,1.41419,-0.800138,-2.573186,-2.927106,-1.666711,0.512886,2.409623,2.977439,1.90318,-0.220694,-2.222853,-2.999096,-2.12132
63,2.095129,2.999096,2.197963,0.147203,-1.987247,-2.991871,-2.295502,-0.294051,1.874578,2.977439,2.387511,0.440191,-1.757394,-2.955833,-2.473768,-0.585271,1.635975,2.927106,2.554066,0.728941,-1.510615,-2.891328,-2.62821,-0.870854,1.381616,2.848585,2.696023,1.01067,-1.249289,-2.798978,-2.757342,-1.14805
64,2.12132,3.0,2.12132,0.0,-2.12132,-3.0,-2.12132,-0.0,2.12132,3.0,2.12132,0.0,-2.12132,-3.0,-2.12132,-0.0,2.12132,3.0,2.12132,0.0,-2.12132,-3.0,-2.12132,-0.0,2.12132,3.0,2.12132,0.0,-2.12132,-3.0,-2.12132,-0.0
65,2.147192,2.999096,2.041803,-0.147203,-2.247409,-2.991871,-1.931495,0.294051,2.342212,2.977439,1.816533,-0.440191,-2.431372,-2.955833,-1.697195,0.585271,2.514674,2.927106,1.573769,-0.728941,-2.591919,-2.891328,-1.446551,0.870854,2.662919,2.848585,1.315849,-1.01067,-2.727504,-2.798978,-1.181976,1.14805
66,2.172741,2.996386,1.959519,-0.294051,-2.365039,-2.96753,-1.727425,0.585271,2.534561,2.910094,1.478695,-0.870854,-2.679673,-2.824632,-1.215724,1.14805,2.798978,2.711968,0.941045,-1.41419,-2.891328,-2.573186,-0.657304,1.666711,2.955833,2.409623,0.367232,-1.90318,-2.991871,-2.222853,-0.073624,2.12132
67,2.197963,2.991871,1.874578,-0.440191,-2.473768,-2.927106,-1.510615,0.870854,2.696023,2.798978,1.113952,-1.282665,-2.859918,-2.610261,-0.693174,1.666711,2.961904,2.365039,0.257392,-2.014677,-2.999774,-2.068622,0.183962,2.319031,2.972708,1.727425,-0.621334,-2.573186,-2.881292,-1.348834,1.045256,2.771639
68,2.222853,2.985554,1.787098,-0.585271,-2.573186,-2.870821,-1.282665,1.14805,2.824632,2.645764,0.728941,-1.666711,-2.96753,-2.319031,-0.147203,2.12132,2.996386,1.90318,-0.440191,-2.494409,-2.910094,-1.41419,1.01067,2.771639,2.711968,0.870854,-1.542308,-2.942356,-2.409623,-0.294051,2.014677,3.0
69,2.247409,2.977439,1.697195,-0.728941,-2.662919,-2.798978,-1.045256,1.41419,2.91882,2.452754,0.330667,-2.014677,-2.999774,-1.959519,0.403742,2.494409,2.900929,1.348834,-1.113952,-2.824632,-2.62821,-0.657304,1.757394,2.985554,2.197963,-0.073624,-2.295502,-2.96753,-1.635975,0.800138,2.696023,2.771639
70,2.271627,2.96753,1.604993,-0.870854,-2.742629,-2.711968,-0.800138,1.666711,2.977439,2.222853,-0.073624,-2.319031,-2.955833,-1.542308,0.941045,2.771639,2.679673,0.728941,-1.727425,-2.985554,-2.172741,0.147203,2.365039,2.942356,1.478695,-1.01067,-2.798978,-2.645764,-0.657304,1.787098,2.991871,2.12132
71,2.295502,2.955833,1.510615,-1.01067,-2.812017,-2.610261,-0.54912,1.90318,2.999774,1.959519,-0.476574,-2.573186,-2.836822,-1.079685,1.446551,2.942356,2.342212,0.073624,-2.247409,-2.96753,-1.573769,0.941045,2.785518,2.645764,0.621334,-1.845695,-2.997967,-2.014677,0.403742,2.534561,2.859918,1.14805
72,2.319031,2.942356,1.41419,-1.14805,-2.870821,-2.494409,-0.294051,2.12132,2.985554,1.666711,-0.870854,-2.771639,-2.645764,-0.585271,1.90318,3.0,1.90318,-0.585271,-2.645764,-2.771639,-0.870854,1.666711,2.985554,2.12132,-0.294051,-2.494409,-2.870821,-1.14805,1.41419,2.942356,2.319031,0.0
73,2.342212,2.927106,1.315849,-1.282665,-2.91882,-2.365039,-0.036815,2.319031,2.934952,1.348834,-1.249289,-2.910094,-2.387511,-0.073624,2.295502,2.942356,1.381616,-1.215724,-2.900929,-2.409623,-0.110422,2.271627,2.949316,1.41419,-1.181976,-2.891328,-2.431372,-0.147203,2.247409,2.955833,1.446551,-1.14805
74,2.365039,2.910094,1.215724,-1.41419,-2.955833,-2.222853,0.220694,2.494409,2.848585,1.01067,-1.604993,-2.985554,-2.068622,0.440191,2.610261,2.771639,0.800138,-1.787098,-2.999096,-1.90318,0.657304,2.711968,2.679673,0.585271,-1.959519,-2.996386,-1.727425,0.870854,2.798978,2.573186,0.367232,-2.12132
75,2.387511,2.891328,1.113952,-1.542308,-2.981721,-2.068622,0.476574,2.645764,2.727504,0.657304,-1.931495,-2.996386,-1.697195,0.941045,2.836822,2.494409,0.183962,-2.271627,-2.934952,-1.282665,1.381616,2.955833,2.197963,-0.294051,-2.554066,-2.798978,-0.835559,1.787098,2.999774,1.845695,-0.764597,-2.771639
76,2.409623,2.870821,1.01067,-1.666711,-2.996386,-1.90318,0.728941,2.771639,2.573186,0.294051,-2.222853,-2.942356,-1.282665,1.41419,2.96753,2.12132,-0.440191,-2.645764,-2.711968,-0.585271,2.014677,2.985554,1.542308,-1.14805,-2.910094,-2.319031,0.147203,2.494409,2.824632,0.870854,-1.787098,-3.0
77,2.431372,2.848585,0.906018,-1.787098,-2.999774,-1.727425,0.975931,2.870821,2.387511,-0.073624,-2.473768,-2.824632,-0.835559,1.845695,2.997967,1.666711,-1.045256,-2.891328,-2.342212,0.147203,2.514674,2.798978,0.764597,-1.90318,-2.994354,-1.604993,1.113952,2.910094,2.295502,-0.220694,-2.554066,-2.771639
78,2.452754,2.824632,0.800138,-1.90318,-2.991871,-1.542308,1.215724,2.942356,2.172741,-0.440191,-2.679673,-2.645764,-0.367232,2.222853,2.927106,1.14805,-1.604993,-2.996386,-1.845695,0.870854,2.848585,2.409623,-0.073624,-2.494409,-2.798978,-0.728941,1.959519,2.985554,1.478695,-1.282665,-2.955833,-2.12132
