cyclecount,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53
10,68.75253,70.90239,21.64706,0.55586,0.45078,105.55586,3.65854,210.55586,5.53164,73.12556,71.76652,21.64706,0.55586,0.19689,105.55586,20.4878,210.55586,8.22531,71.10322,71.23933,21.64706,0.55586,0.30052,105.55586,14.26829,210.55586,5.51773,54.75959,67.06545,21.64706,0.55586,1.26776,105.55586,12.07317,210.55586,13.55588,70.94611,71.36603,21.64706,0.55586,0.28327,105.55586,5.4878,210.55586,10.56815,84.61309,73.3388,20.70588,0.55586,0.12784,105.55586,4.39024,210.55586,5.84636
11,67.84948,70.48738,21.64706,0.61145,0.50029,105.61145,3.65854,210.61145,7.68174,72.4585,71.40052,21.64706,0.61145,0.22798,105.61145,20.4878,210.61145,8.26527,70.09816,71.37079,21.64706,0.61145,0.33677,105.61145,14.26829,210.61145,4.13781,54.50465,66.52187,21.64706,0.61145,1.29159,105.61145,12.07317,210.61145,9.11047,70.29713,71.38294,21.64706,0.61145,0.31434,105.61145,3.29268,210.61145,12.61346,83.75224,73.53834,20.70588,0.61145,0.08363,105.61145,4.39024,210.61145,6.24413
12,66.93716,70.23764,21.64706,0.66704,0.54924,105.66704,3.65854,210.66704,4.81324,71.73195,71.20489,21.64706,0.66704,0.25907,105.66704,20.4878,210.66704,11.00396,69.35757,71.10427,21.64706,0.66704,0.37133,105.66704,9.87805,210.66704,6.75535,54.15103,66.04385,22.11765,0.66704,1.30817,105.66704,12.07317,210.66704,12.61046,69.66335,71.22138,21.64706,0.66704,0.33679,105.66704,3.65854,210.66704,11.68621,82.91678,73.38811,21.17647,0.66704,0.03976,105.66704,4.39024,210.66704,7.14118
13,66.38637,69.81934,21.64706,0.72262,0.58861,105.72262,3.65854,210.72262,6.51998,71.02407,71.35743,21.64706,0.72262,0.29015,105.72262,20.4878,210.72262,9.39125,68.63552,70.69293,21.64706,0.72262,0.40242,105.72262,10.2439,210.72262,7.27389,53.74231,65.59111,22.11765,0.72262,1.33062,105.72262,12.07317,210.72262,13.55497,69.09737,70.85798,21.64706,0.72262,0.36788,105.72262,3.65854,210.72262,11.36724,82.10855,72.90919,21.17647,0.72262,0.00521,105.72262,4.39024,210.72262,6.70287
14,65.73836,69.34457,21.64706,0.77821,0.64214,105.77821,3.65854,210.77821,7.59896,70.30086,71.39551,21.64706,0.77821,0.31781,105.77821,20.4878,210.77821,9.21026,67.85103,70.35084,21.64706,0.77821,0.44214,105.77821,10.2439,210.77821,8.35328,53.27791,65.21176,22.11765,0.77821,1.34663,105.77821,12.07317,210.77821,14.7886,68.543,70.55134,21.64706,0.77821,0.39897,105.77821,3.65854,210.77821,11.59347,81.45375,72.48775,21.64706,0.77821,0.01283,105.77821,4.39024,210.77821,5.37966
15,64.86119,69.02233,21.64706,0.8338,0.69776,105.8338,3.65854,210.8338,6.70348,69.4997,71.07549,21.64706,0.8338,0.35233,105.8338,20.4878,210.8338,9.21026,67.04343,70.01655,21.64706,0.8338,0.4819,105.8338,10.2439,210.8338,6.59411,52.69782,64.93291,22.11765,0.8338,1.36447,105.8338,12.07317,210.8338,15.839,67.8928,70.31703,21.64706,0.8338,0.43005,105.8338,3.65854,210.8338,12.24614,80.9137,72.03366,21.64706,0.8338,0.02418,105.8338,4.39024,210.8338,10.12416
16,64.06277,68.81219,21.64706,0.88938,0.76131,105.88938,3.65854,210.88938,6.70287,68.85332,70.71936,21.64706,0.88938,0.38342,105.88938,20.4878,210.88938,12.90879,66.31492,69.51895,21.64706,0.88938,0.53023,105.88938,10.2439,210.88938,6.41662,52.01599,64.76429,22.58824,0.88938,1.38693,105.88938,12.07317,210.88938,9.85793,67.23901,70.05685,21.64706,0.88938,0.46114,105.88938,4.09496,210.88938,11.41829,80.01449,71.91107,21.64706,0.88938,0.01625,105.88938,4.39024,210.88938,11.55009
17,63.25299,68.83397,21.64706,0.94497,0.81864,105.94497,3.65854,210.94497,9.05354,68.12958,70.3579,21.64706,0.94497,0.42314,105.94497,20.4878,210.94497,9.23587,65.62643,69.07736,21.64706,0.94497,0.57165,105.94497,10.2439,210.94497,6.96355,51.33039,64.71979,22.58824,0.94497,1.40317,105.94497,12.07317,210.94497,8.81121,66.63434,69.76112,21.64706,0.94497,0.49223,105.94497,4.39024,210.94497,8.81121,79.21284,72.03185,21.64706,0.94497,0.01161,105.94497,4.39024,210.94497,4.96839
18,62.57307,68.90425,21.64706,1.00056,0.8715,106.00056,3.65854,211.00056,8.61991,67.43962,70.05346,21.64706,1.00056,0.4611,106.00056,20.4878,211.00056,8.00327,65.01475,68.84882,21.64706,1.00056,0.61831,106.00056,10.2439,211.00056,7.67704,50.63049,64.71092,22.58824,1.00056,1.42551,106.00056,12.07317,211.00056,11.24606,66.11685,69.32407,21.64706,1.00056,0.53195,106.00056,4.39024,211.00056,12.33521,78.50833,72.04952,21.64706,1.00056,0.00692,106.00056,4.39024,211.00056,7.88806
19,61.76027,69.07174,21.64706,1.05614,0.92575,106.05614,3.65854,211.05614,7.82142,66.68619,69.75371,21.64706,1.05614,0.49737,106.05614,20.4878,211.05614,8.61896,64.3028,68.62989,21.64706,1.05614,0.66667,106.05614,10.97561,211.05614,11.96693,49.86804,64.68565,22.58824,1.05614,1.45083,106.05614,12.07317,211.05614,8.57412,65.46736,69.02797,21.64706,1.05614,0.57167,106.05614,4.39024,211.05614,11.91554,78.53081,72.1603,21.64706,1.05614,0.00692,106.05614,4.39024,211.05614,13.63227
20,61.15746,69.62598,21.64706,1.11173,0.96547,106.11173,3.65854,211.11173,8.81121,66.03166,69.22122,21.64706,1.11173,0.54231,106.11173,20.4878,211.11173,7.45584,63.49365,68.49992,21.64706,1.11173,0.72366,106.11173,10.97561,211.11173,9.47006,49.14953,64.73376,23.52941,1.11173,1.475,106.11173,12.07317,211.11173,8.8094,64.94539,68.78011,21.64706,1.11173,0.60276,106.11173,4.39024,211.11173,9.39125,78.62515,72.28614,21.64706,1.11173,0.00692,106.11173,4.39024,211.11173,21.5385
21,60.49856,70.22422,21.64706,1.16732,1.0006,106.16732,3.65854,211.16732,8.81121,65.25213,68.98928,21.64706,1.16732,0.59067,106.16732,20.4878,211.16732,13.39607,62.72938,68.59603,21.64706,1.16732,0.78066,106.16732,11.34146,211.16732,7.70275,48.55725,64.46424,23.52941,1.16732,1.50332,106.16732,12.07317,211.16732,12.91936,64.39551,68.66373,21.64706,1.16732,0.64249,106.16732,4.39024,211.16732,17.18255,78.40719,72.42817,21.64706,1.16732,0.00941,106.16732,4.39024,211.16732,28.10274
22,59.6881,70.68431,21.64706,1.2229,1.02421,106.2229,3.65854,211.2229,6.17441,64.59912,68.66726,21.64706,1.2229,0.63039,106.2229,20.4878,211.2229,8.27081,62.13467,68.8327,21.64706,1.2229,0.82733,106.2229,11.70732,211.2229,10.10041,48.03015,64.12707,24.0,1.2229,1.5351,106.2229,12.07317,211.2229,11.68621,63.70307,68.57087,21.64706,1.2229,0.69084,106.2229,4.39024,211.2229,11.35251,77.94803,72.5827,21.17647,1.2229,0.01382,106.2229,4.39024,211.2229,29.70456
23,58.92185,70.87073,21.64706,1.27849,1.04552,106.27849,3.65854,211.27849,5.84636,63.85813,68.58892,21.64706,1.27849,0.68562,106.27849,20.4878,211.27849,9.4965,61.50795,69.27725,21.64706,1.27849,0.86874,106.27849,11.70732,211.27849,10.47088,47.543,63.76658,24.0,1.27849,1.56688,106.27849,12.07317,211.27849,11.68621,63.11899,68.60506,21.64706,1.27849,0.7392,106.27849,4.39024,211.27849,11.08174,77.48886,72.73723,21.17647,1.27849,0.01824,106.27849,4.39024,211.27849,30.0
24,58.35994,70.56392,21.64706,1.33407,1.08082,106.33407,3.65854,211.33407,8.10767,63.18755,68.62988,21.64706,1.33407,0.73916,106.33407,20.4878,211.33407,9.54963,60.87844,69.79365,21.64706,1.33407,0.90506,106.33407,12.43902,211.33407,8.7412,47.1652,63.3667,24.47059,1.33407,1.59934,106.33407,12.07317,211.33407,11.82128,62.60391,68.67024,21.64706,1.33407,0.77893,106.33407,4.39024,211.33407,13.94393,77.0297,72.89176,21.17647,1.33407,0.02265,106.33407,4.39024,211.33407,30.0
25,57.46022,70.08601,21.64706,1.38966,1.12954,106.38966,3.65854,211.38966,8.81797,62.61634,68.7243,21.64706,1.38966,0.78411,106.38966,20.4878,211.38966,29.22961,60.12015,70.21841,21.64706,1.38966,0.93097,106.38966,13.17073,211.38966,7.78737,46.91519,62.81302,24.47059,1.38966,1.63906,106.38966,12.07317,211.38966,13.55268,62.09379,68.94476,21.64706,1.38966,0.81865,106.38966,4.39024,211.38966,17.64651,76.64386,72.68276,21.17647,1.38966,0.0285,106.38966,4.39024,211.38966,30.0
26,56.82318,69.61695,21.64706,1.44525,1.16468,106.44525,3.65854,211.44525,6.81861,62.05533,69.07177,21.64706,1.44525,0.83247,106.44525,20.4878,211.44525,13.31122,59.36215,70.48226,21.64706,1.44525,0.95687,106.44525,13.90244,211.44525,6.64827,46.63641,62.25789,24.47059,1.44525,1.68672,106.44525,12.07317,211.44525,13.55497,61.54519,69.30604,21.64706,1.44525,0.85837,106.44525,3.65854,211.44525,11.75442,76.44066,72.4343,21.64706,1.44525,0.03558,106.44525,4.39024,211.44525,25.5304
27,56.03841,69.0427,21.64706,1.50083,1.20587,106.50083,3.65854,211.50083,9.62836,61.47532,69.44466,21.64706,1.50083,0.87219,106.50083,20.4878,211.50083,11.38534,58.78327,70.57967,21.64706,1.50083,0.98446,106.50083,14.63415,211.50083,8.64273,46.46011,61.79719,24.94118,1.50083,1.7199,106.50083,12.07317,211.50083,11.96414,61.05069,69.78194,21.64706,1.50083,0.88946,106.50083,3.65854,211.50083,12.53888,76.22935,72.40168,21.64706,1.50083,0.0503,106.50083,4.39024,211.50083,21.00017
28,55.45366,68.22021,21.64706,1.55642,1.24871,106.55642,3.65854,211.55642,4.09268,60.95136,69.94166,21.64706,1.55642,0.90328,106.55642,20.4878,211.55642,10.24389,58.16916,70.19785,21.64706,1.55642,1.01554,106.55642,14.05334,211.55642,12.41164,46.38638,61.26241,24.94118,1.55642,1.75823,106.55642,12.07317,211.55642,15.58028,60.39107,70.17397,21.64706,1.55642,0.92233,106.55642,3.65854,211.55642,8.59028,75.22406,72.14886,21.64706,1.55642,0.08435,106.55642,4.39024,211.55642,16.74845
29,54.86815,67.38016,21.64706,1.61201,1.28844,106.61201,3.65854,211.61201,4.41884,60.31918,70.31118,21.64706,1.61201,0.92573,106.61201,20.4878,211.61201,9.26156,57.40686,69.99614,21.64706,1.61201,1.05527,106.61201,13.90244,211.61201,11.32673,46.26632,60.69435,24.94118,1.61201,1.80313,106.61201,12.07317,211.61201,16.90582,59.87629,70.51345,21.64706,1.61201,0.943,106.61201,3.65854,211.61201,11.22358,74.39677,72.27652,21.64706,1.61201,0.12259,106.61201,4.7561,211.61201,10.43832
30,54.29715,66.62858,22.11765,1.66759,1.31955,106.66759,3.65854,211.66759,4.41884,59.55845,70.55493,21.64706,1.66759,0.94824,106.66759,20.4878,211.66759,26.69518,56.69225,69.58277,21.64706,1.66759,1.09499,106.66759,13.90244,211.66759,10.84268,45.90718,60.27488,25.41176,1.66759,1.85063,106.66759,12.07317,211.66759,14.63941,59.20304,70.49239,21.64706,1.66759,0.95687,106.66759,3.65854,211.66759,11.31979,74.09037,72.52625,21.17647,1.66759,0.13646,106.66759,4.7561,211.66759,8.8058
31,53.88145,65.81037,22.11765,1.72318,1.35466,106.72318,3.65854,211.72318,7.26705,59.05542,70.63201,21.64706,1.72318,0.97415,106.72318,20.4878,211.72318,8.0472,55.92318,69.12243,21.64706,1.72318,1.13471,106.72318,13.53659,211.72318,5.27842,45.43895,59.98861,25.88235,1.72318,1.89743,106.72318,12.07317,211.72318,14.23149,58.80882,70.50762,21.64706,1.72318,0.9879,106.72318,3.65854,211.72318,13.84684,73.84688,71.88377,21.64706,1.72318,0.16621,106.72318,4.7561,211.72318,14.51194
32,53.2955,65.09931,22.11765,1.77877,1.37827,106.77877,3.65854,211.77877,7.07604,58.34345,70.20856,21.64706,1.77877,1.01035,106.77877,20.4878,211.77877,17.88523,55.59841,68.36317,21.64706,1.77877,1.17444,106.77877,13.53659,211.77877,7.17543,44.96962,59.77784,25.88235,1.77877,1.9451,106.77877,12.07317,211.77877,15.839,58.15997,70.2095,21.64706,1.77877,1.01899,106.77877,3.65854,211.77877,19.21843,73.59406,71.44625,21.64706,1.77877,0.1924,106.77877,4.7561,211.77877,21.39692
33,52.33542,64.62466,22.58824,1.83435,1.41051,106.83435,6.07519,211.83435,5.05029,57.4882,69.98127,21.64706,1.83435,1.05008,106.83435,20.4878,211.83435,7.05907,55.05867,67.65945,21.64706,1.83435,1.21416,106.83435,13.53659,211.83435,7.40665,44.59833,59.51365,25.88235,1.83435,1.99276,106.83435,12.07317,211.83435,15.839,57.55278,70.07913,21.64706,1.83435,1.05008,106.83435,3.65854,211.83435,10.9388,73.29313,71.59243,21.64706,1.83435,0.20946,106.83435,4.7561,211.83435,18.69404
34,51.41051,64.55625,22.58824,1.88994,1.42547,106.88994,12.80488,211.88994,4.12417,56.72912,69.58693,21.64706,1.88994,1.0898,106.88994,20.4878,211.88994,12.02022,54.5715,67.09191,21.64706,1.88994,1.24525,106.88994,13.53659,211.88994,7.16656,44.35584,59.14864,26.35294,1.88994,2.04043,106.88994,12.07317,211.88994,16.03994,57.08393,69.82758,21.64706,1.88994,1.07253,106.88994,3.65854,211.88994,11.47962,72.88646,71.71564,21.64706,1.88994,0.23216,106.88994,4.7561,211.88994,18.69404
35,50.59223,64.62294,22.58824,1.94553,1.44622,106.94553,12.80488,211.94553,8.80175,56.03382,69.05158,21.64706,1.94553,1.13816,106.94553,20.4878,211.94553,7.1559,54.35325,66.27836,22.11765,1.94553,1.2764,106.94553,13.17073,211.94553,8.61896,44.02089,58.86386,26.35294,1.94553,2.0881,106.94553,12.07317,211.94553,18.68904,56.57746,69.55426,21.64706,1.94553,1.09505,106.94553,3.65854,211.94553,16.2524,72.19317,71.64169,21.64706,1.94553,0.27024,106.94553,4.7561,211.94553,18.69404
36,49.66636,64.68505,22.58824,2.00111,1.47556,107.00111,12.80488,212.00111,7.68174,55.69493,68.2698,21.64706,2.00111,1.17788,107.00111,20.4878,212.00111,6.70287,53.72802,65.57386,22.11765,2.00111,1.30742,107.00111,13.53659,212.00111,6.70287,43.61157,58.71857,26.35294,2.00111,2.13445,107.00111,12.07317,212.00111,21.41227,56.07448,69.26751,21.64706,2.00111,1.12607,107.00111,3.65854,212.00111,12.7264,71.46893,71.50663,21.64706,2.00111,0.31429,107.00111,4.7561,212.00111,11.37878
37,48.73299,64.54555,23.52941,2.0567,1.51329,107.0567,12.80488,212.0567,4.92342,55.18623,67.60747,21.64706,2.0567,1.20897,107.0567,20.4878,212.0567,7.05907,53.08309,64.9942,22.11765,2.0567,1.32988,107.0567,13.90244,212.0567,6.83198,43.35576,58.3708,26.82353,2.0567,2.18171,107.0567,12.07317,212.0567,22.36481,55.73552,68.85177,21.64706,2.0567,1.14852,107.0567,3.65854,212.0567,14.96052,71.42622,71.86386,21.64706,2.0567,0.33229,107.0567,4.7561,212.0567,10.12892
38,47.84994,63.99709,24.0,2.11228,1.56187,107.11228,12.80488,212.11228,4.76375,54.64777,66.94038,21.64706,2.11228,1.2487,107.11228,20.4878,212.11228,7.72381,52.18026,64.74344,22.58824,2.11228,1.35413,107.11228,13.90244,212.11228,5.58033,43.09744,58.04269,26.82353,2.11228,2.22456,107.11228,12.07317,212.11228,20.19562,55.56247,68.27075,21.64706,2.11228,1.17961,107.11228,3.65854,212.11228,13.83624,70.82702,71.86906,21.64706,2.11228,0.35964,107.11228,4.7561,212.11228,13.34293
39,47.10769,63.38857,24.47059,2.16787,1.61771,107.16787,12.80488,212.16787,5.95196,54.3413,66.11088,22.11765,2.16787,1.27978,107.16787,20.4878,212.16787,13.34756,51.31399,64.64735,22.58824,2.16787,1.3714,107.16787,13.90244,212.16787,9.044,42.75479,57.81813,26.82353,2.16787,2.26841,107.16787,12.07317,212.16787,20.32787,55.16004,67.74832,21.64706,2.16787,1.20732,107.16787,3.65854,212.16787,14.58542,70.09134,71.78733,21.64706,2.16787,0.39028,107.16787,4.7561,212.16787,17.49574
40,46.58071,62.64421,24.47059,2.22346,1.67641,107.22346,12.80488,212.22346,8.03334,53.68659,65.43258,22.11765,2.22346,1.31087,107.22346,20.4878,212.22346,6.2608,50.55328,64.61367,22.58824,2.22346,1.38864,107.22346,14.26721,212.22346,6.05876,42.41808,57.56356,27.29412,2.22346,2.31608,107.22346,12.07317,212.22346,22.36481,54.79056,67.3363,21.64706,2.22346,1.22887,107.22346,3.65854,212.22346,17.10737,69.566,71.53848,21.64706,2.22346,0.41278,107.22346,4.7561,212.22346,6.71642
41,46.17234,61.75503,24.94118,2.27904,1.74431,107.27904,12.80488,212.27904,5.04767,52.94946,64.8737,22.11765,2.27904,1.33332,107.27904,20.4878,212.27904,6.10855,49.47977,64.56345,23.52941,2.27904,1.41105,107.27904,13.90244,212.27904,6.3655,42.11777,57.24681,27.29412,2.27904,2.36375,107.27904,12.07317,212.27904,22.36481,54.48338,66.72087,22.11765,2.27904,1.25913,107.27904,3.65854,212.27904,14.63275,69.31824,71.30173,21.64706,2.27904,0.42074,107.27904,5.42793,212.27904,11.14625
42,45.88607,60.84647,24.94118,2.33463,1.82033,107.33463,12.80488,212.33463,4.67632,52.01207,64.70804,22.58824,2.33463,1.35577,107.33463,20.4878,212.33463,6.02548,48.70799,64.3694,23.52941,2.33463,1.44378,107.33463,13.53659,212.33463,7.70275,41.79152,56.9598,27.29412,2.33463,2.41141,107.33463,12.07317,212.33463,22.36481,54.34982,66.29265,22.11765,2.33463,1.2764,107.33463,3.65854,212.33463,17.98149,69.0707,71.06514,21.64706,2.33463,0.42868,107.33463,6.10107,212.33463,19.87853
43,45.64047,60.04479,25.41176,2.39022,1.89457,107.39022,13.28685,212.39022,6.94789,51.0677,64.67184,22.58824,2.39022,1.3714,107.39022,20.4878,212.39022,6.25128,47.87525,63.87464,24.0,2.39022,1.49049,107.39022,13.53659,212.39022,7.19112,41.50131,56.66961,27.29412,2.39022,2.45772,107.39022,12.07317,212.39022,22.36481,53.9782,65.80468,22.11765,2.39022,1.29368,107.39022,3.65854,212.39022,11.48285,68.56304,70.85162,21.64706,2.39022,0.44972,107.39022,6.21951,212.39022,22.36481
44,44.9338,59.54161,25.88235,2.4458,1.9809,107.4458,14.63415,212.4458,8.56778,50.06428,64.55868,22.58824,2.4458,1.39731,107.4458,20.4878,212.4458,5.55504,47.29015,63.29477,24.47059,2.4458,1.53548,107.4458,13.17073,212.4458,5.48139,41.25481,56.40032,28.23529,2.4458,2.49744,107.4458,12.07317,212.4458,22.6402,53.48264,65.36184,22.11765,2.4458,1.31432,107.4458,3.65854,212.4458,14.47587,68.14752,70.56179,21.64706,2.4458,0.47063,107.4458,6.21951,212.4458,18.28294
45,44.25398,59.13477,26.35294,2.50139,2.05521,107.50139,15.21805,212.50139,8.81121,49.12749,64.54834,23.52941,2.50139,1.42321,107.50139,20.4878,212.50139,10.13061,46.90819,62.59543,24.47059,2.50139,1.58712,107.50139,13.17073,212.50139,8.0472,40.9016,56.18935,28.23529,2.50139,2.53716,107.50139,12.07317,212.50139,26.32419,53.06975,64.9474,22.11765,2.50139,1.32822,107.50139,3.65854,212.50139,11.28719,67.80227,70.45865,21.64706,2.50139,0.49221,107.50139,6.21951,212.50139,18.05509
46,43.64323,58.74232,26.35294,2.55698,2.13037,107.55698,15.36585,212.55698,8.63388,48.20829,64.01268,24.0,2.55698,1.47149,107.55698,20.4878,212.55698,3.12105,46.50069,61.87655,24.47059,2.55698,1.64421,107.55698,14.26829,212.55698,6.9257,40.60148,56.05546,28.23529,2.55698,2.57689,107.55698,12.07317,212.55698,27.25916,52.80446,64.69635,22.11765,2.55698,1.34195,107.55698,3.65854,212.55698,11.53625,67.43076,70.50764,21.64706,2.55698,0.51604,107.55698,6.21951,212.55698,23.76215
47,43.20795,58.26411,26.82353,2.61256,2.19098,107.61256,15.36585,212.61256,8.19833,47.52584,63.49959,24.0,2.61256,1.51121,107.61256,20.4878,212.61256,9.26563,46.34463,61.22596,24.94118,2.61256,1.6942,107.61256,13.90244,212.61256,8.86001,40.24697,55.92345,28.70588,2.61256,2.61661,107.61256,12.07317,212.61256,24.841,52.62987,64.67388,22.11765,2.61256,1.34549,107.61256,3.65854,212.61256,30.0,67.03375,70.25521,21.64706,2.61256,0.53988,107.61256,6.21951,212.61256,24.74182
48,42.64954,57.95263,26.82353,2.66815,2.25499,107.66815,15.36585,212.66815,10.91456,47.01135,62.82752,24.47059,2.66815,1.55957,107.66815,20.4878,212.66815,5.20422,46.15947,60.53094,24.94118,2.66815,1.75638,107.66815,13.53659,212.66815,10.23934,39.85457,55.812,28.70588,2.66815,2.6577,107.66815,12.07317,212.66815,22.36481,52.41651,64.65771,22.58824,2.66815,1.34549,107.66815,0.0,212.66815,30.0,66.75919,69.83488,21.64706,2.66815,0.56644,107.66815,6.21951,212.66815,17.71844
49,42.21265,57.4419,27.29412,2.72374,2.31982,107.72374,15.36585,212.72374,11.76188,46.6112,62.0081,24.47059,2.72374,1.61993,107.72374,20.4878,212.72374,10.0476,45.46108,60.05071,25.88235,2.72374,1.8411,107.72374,13.53659,212.72374,9.06629,39.43931,55.83534,28.70588,2.72374,2.70335,107.72374,12.07317,212.72374,22.36481,52.21516,64.64987,22.58824,2.72374,1.35413,107.72374,0.36585,212.72374,30.0,66.14236,69.37791,21.64706,2.72374,0.60482,107.72374,6.21951,212.72374,13.39623
