cyclecount,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64
10,0.288702,0.0,0.0,0.094609,0.0,0.0,0.0,0.019081,0.0,0.0,0.094269,0.0,0.115591,0.0,0.098104,0.238346,0.0,1.246278,1.715801,0.527794,0.053639,0.018903,0.026633,0.278408,1.24789,0.281276,0.008562,0.012471,0.477755,0.022497,0.007172,0.641931,0.006497,0.54571,0.097291,0.41436,0.608557,0.394998,0.952046,0.58292,3.337856,0.766488,0.156993,0.534134,0.485649,0.138534,0.088376,0.131732,0.241137,0.067905,0.114937,0.145085,0.18083,0.174087,0.168032,0.054651,0.039998,0.011264,0.009792,0.006388,0.008665,0.007804,0.009116,0.01201
11,0.211924,0.0,0.0,0.182395,0.0,0.0,0.0,0.100398,0.0,0.0,0.044988,0.0,0.066404,0.0,0.19615,0.20024,0.0,1.100138,1.497887,0.44409,0.061717,0.014522,0.016103,0.284678,1.222305,0.278664,0.00525,0.014276,0.4658,0.02684,0.005994,0.623944,0.007883,0.534636,0.081667,0.366139,0.53555,0.371116,0.862654,0.419564,2.776453,0.617091,0.119594,0.294549,0.360885,0.120326,0.073391,0.188773,0.24667,0.110467,0.192296,0.232916,0.162057,0.119224,0.195295,0.057927,0.03051,0.013918,0.006922,0.008006,0.007598,0.007419,0.009852,0.011001
12,0.216245,0.0,0.0,0.101708,0.0,0.0,0.0,0.061512,0.0,0.0,0.010902,0.0,0.08955,0.0,0.138285,0.198778,0.0,0.97391,1.315839,0.405867,0.040785,0.013726,0.018406,0.263674,1.166314,0.260983,0.00887,0.010245,0.446184,0.02191,0.008406,0.599752,0.01076,0.500603,0.076473,0.323497,0.461709,0.352918,0.81188,0.301308,2.228503,0.530841,0.058068,0.349993,0.320702,0.193953,0.065288,0.232675,0.30873,0.135922,0.193736,0.240555,0.117453,0.068822,0.128108,0.030569,0.010238,0.017086,0.008514,0.007335,0.007272,0.009018,0.007273,0.010318
13,0.294008,0.0,0.0,0.081477,0.0,0.0,0.0,0.007521,0.0,0.0,0.024221,0.0,0.060555,0.0,0.076307,0.15552,0.0,0.818022,1.122702,0.346375,0.030171,0.014545,0.011162,0.252162,1.129621,0.255185,0.009083,0.006985,0.428932,0.020819,0.007629,0.570888,0.008644,0.462358,0.067097,0.283011,0.395644,0.326837,0.729454,0.242255,1.65698,0.461653,0.058056,0.220965,0.23484,0.262377,0.081209,0.295379,0.317679,0.138303,0.132137,0.198013,0.123463,0.069655,0.034861,0.022427,0.030251,0.009611,0.006071,0.010012,0.007328,0.00722,0.008639,0.00969
14,0.229281,0.0,0.0,0.109655,0.0,0.0,0.0,0.061332,0.0,0.0,0.027276,0.0,0.03305,0.0,0.09546,0.131854,0.0,0.709271,0.972325,0.301496,0.029383,0.008092,0.012835,0.236599,1.06407,0.232675,0.005396,0.01005,0.407311,0.018988,0.005653,0.548499,0.008336,0.435452,0.055082,0.245161,0.33433,0.291307,0.646644,0.204998,1.138878,0.365755,0.058146,0.177715,0.257327,0.321694,0.104811,0.34561,0.289135,0.138698,0.054063,0.153116,0.092282,0.066731,0.035471,0.031973,0.030961,0.010313,0.006358,0.008068,0.007248,0.007999,0.007311,0.008595
15,0.174448,0.0,0.0,0.074403,0.0,0.0,0.0,0.028532,0.0,0.0,0.011183,0.0,0.040948,0.0,0.057152,0.126116,0.0,0.631656,0.863065,0.269995,0.024742,0.007435,0.01006,0.22632,1.005177,0.220024,0.005378,0.008328,0.392092,0.017737,0.005923,0.524755,0.00738,0.397745,0.049733,0.20923,0.280472,0.256604,0.585326,0.16331,0.74994,0.320929,0.055377,0.120707,0.152061,0.346306,0.121091,0.369636,0.239969,0.138404,0.032522,0.11132,0.039095,0.037212,0.05297,0.026458,0.009744,0.009793,0.005901,0.007711,0.007647,0.008057,0.007737,0.00982
16,0.270203,0.0,0.0,0.040521,0.0,0.0,0.0,0.01108,0.0,0.0,0.017775,0.0,0.037166,0.0,0.061171,0.104837,0.0,0.558436,0.768131,0.237419,0.018365,0.005601,0.012394,0.210143,0.945146,0.209702,0.006417,0.008689,0.375338,0.016574,0.006545,0.500692,0.006277,0.360398,0.042223,0.177037,0.233675,0.222074,0.511155,0.153521,0.501017,0.304028,0.071494,0.077145,0.122459,0.345708,0.134334,0.369314,0.190745,0.122359,0.087746,0.06817,0.034156,0.04088,0.056679,0.018525,0.009174,0.00863,0.010863,0.009696,0.006617,0.008426,0.008835,0.008754
17,0.250406,0.0,0.0,0.010664,0.0,0.0,0.0,0.008457,0.0,0.0,0.015656,0.0,0.012752,0.0,0.051577,0.096859,0.0,0.498629,0.683157,0.213266,0.019525,0.006705,0.010447,0.201305,0.89568,0.199108,0.002725,0.007457,0.362258,0.017529,0.007082,0.478616,0.010187,0.325456,0.034495,0.14893,0.194418,0.191351,0.433668,0.185502,0.453464,0.308716,0.075003,0.133669,0.081614,0.330007,0.144806,0.358887,0.154895,0.089563,0.108732,0.033892,0.040214,0.060265,0.045568,0.013897,0.008993,0.008244,0.008076,0.007422,0.007314,0.011227,0.010564,0.009499
18,0.244145,0.0,0.0,0.002663,0.0,0.0,0.0,0.008769,0.0,0.0,0.016293,0.0,0.018658,0.0,0.04255,0.083529,0.0,0.456246,0.63183,0.197227,0.01511,0.006072,0.009585,0.200311,0.865308,0.179713,0.006745,0.007141,0.35173,0.013922,0.010259,0.458073,0.00559,0.285094,0.046745,0.145001,0.170792,0.160977,0.228905,0.13838,0.473872,0.269447,0.070396,0.130062,0.075292,0.26594,0.129112,0.333723,0.132803,0.057734,0.071062,0.035367,0.031889,0.044477,0.038132,0.010569,0.012472,0.008208,0.010781,0.009444,0.010832,0.008563,0.009973,0.012614
19,0.261895,0.0,0.0,0.01083,0.0,0.0,0.0,0.013347,0.0,0.0,0.011743,0.0,0.023992,0.0,0.049805,0.081186,0.0,0.444385,0.616581,0.19353,0.016407,0.005012,0.007849,0.194846,0.844347,0.178203,0.005259,0.006796,0.343979,0.012999,0.008904,0.447451,0.0097,0.275625,0.043931,0.141934,0.166208,0.155557,0.224355,0.125474,0.472517,0.259095,0.056668,0.122905,0.073889,0.253039,0.119098,0.321741,0.125177,0.054273,0.063475,0.03317,0.024269,0.042699,0.038463,0.012615,0.010732,0.009248,0.009725,0.011513,0.008298,0.008619,0.009731,0.010825
20,0.232832,0.0,0.0,0.075295,0.0,0.0,0.0,0.082839,0.0,0.0,0.107564,0.0,0.307673,0.0,0.509861,0.376223,0.0,0.279777,0.573999,0.421032,0.242601,0.229027,0.270244,0.193631,0.657334,0.624153,0.17816,0.081968,0.332819,0.141496,0.14021,0.505567,0.328417,0.254543,0.195041,0.166037,0.19214,0.361113,0.89738,0.412885,0.577204,0.335376,0.362482,0.351465,0.162653,0.275861,0.208538,0.293484,0.162465,0.134497,0.154204,0.093378,0.172963,0.066428,0.061681,0.077702,0.037913,0.020169,0.013547,0.010696,0.009632,0.009864,0.010363,0.009885
21,0.420051,0.0,0.0,0.135389,0.0,0.0,0.0,0.115059,0.0,0.0,0.165397,0.0,0.184332,0.0,1.011591,0.739024,0.0,0.280207,1.045557,1.856256,0.882554,0.222469,0.286428,0.180294,0.820931,2.233017,0.444837,0.075907,0.245965,0.650131,0.115451,0.329124,1.656266,0.249026,0.956792,0.100696,0.597296,1.064683,1.69612,2.007419,0.884528,1.682336,1.177971,1.294731,0.490246,0.859509,0.486335,0.350285,0.698021,0.591271,0.172692,0.48198,0.644984,0.183566,0.183629,0.201676,0.102691,0.054744,0.01988,0.012315,0.012414,0.010161,0.010347,0.011068
22,0.365038,0.0,0.0,0.101692,0.0,0.0,0.0,0.151738,0.0,0.0,0.135322,0.0,0.246141,0.0,0.422891,0.097526,0.0,0.334704,2.017345,2.767313,1.081136,0.09837,0.014987,0.074001,0.545524,1.760739,0.180624,0.036437,0.173403,0.551754,0.07511,0.224123,1.296899,0.155842,0.837489,0.066475,0.597459,0.861856,1.517541,1.910627,0.612926,2.416456,1.056881,1.052603,0.513082,0.876234,0.319466,0.264214,0.480884,0.817196,0.171282,0.332092,0.431238,0.114592,0.123018,0.079253,0.04504,0.031733,0.015918,0.010357,0.008537,0.01085,0.011173,0.009559
23,0.355994,0.0,0.0,0.144895,0.0,0.0,0.0,0.088526,0.0,0.0,0.060439,0.0,0.019766,0.0,0.118352,0.100765,0.0,0.105528,1.429528,2.345039,0.904862,0.037267,0.056756,0.108533,0.406346,1.836627,0.250803,0.028645,0.126888,0.521054,0.062193,0.156225,1.291022,0.092401,0.768276,0.038397,0.593008,0.81685,1.367599,1.711226,0.790324,2.406478,0.912216,0.899835,0.505426,0.682895,0.207742,0.205259,0.283152,0.850857,0.085228,0.158604,0.289071,0.07824,0.177398,0.048729,0.060015,0.027035,0.024941,0.010934,0.007164,0.010066,0.010972,0.012821
24,0.374802,0.0,0.0,0.123939,0.0,0.0,0.0,0.089507,0.0,0.0,0.108107,0.0,0.081029,0.0,0.041913,0.044159,0.0,0.167603,1.381548,1.984688,0.689507,0.045748,0.020852,0.057262,0.24047,1.77722,0.23265,0.00996,0.077343,0.459528,0.070563,0.102116,1.330033,0.05765,0.680522,0.030405,0.538486,0.663345,1.275232,1.577318,0.703564,2.267028,0.83613,0.762309,0.479832,0.548164,0.165294,0.139095,0.130867,0.663034,0.05662,0.055762,0.146122,0.114193,0.176644,0.072607,0.078273,0.021225,0.016474,0.009313,0.008667,0.008098,0.011705,0.011582
25,0.36254,0.0,0.0,0.162044,0.0,0.0,0.0,0.085617,0.0,0.0,0.096047,0.0,0.042638,0.0,0.101445,0.022034,0.0,0.118022,1.166703,1.675836,0.577851,0.043959,0.011163,0.033498,0.173066,1.684013,0.209201,0.009193,0.059802,0.458338,0.063513,0.069811,1.288214,0.043836,0.658967,0.026701,0.466994,0.613095,1.211243,1.474812,0.419425,1.957668,0.716603,0.659875,0.375801,0.506243,0.092168,0.081646,0.146845,0.363095,0.087239,0.104262,0.195201,0.140771,0.133636,0.139344,0.045286,0.031849,0.013176,0.006992,0.008416,0.010162,0.008022,0.009825
26,0.299062,0.0,0.0,0.139636,0.0,0.0,0.0,0.054067,0.0,0.0,0.045259,0.0,0.038325,0.0,0.086667,0.049973,0.0,0.079169,1.012521,1.461592,0.498484,0.033007,0.019437,0.015235,0.13383,1.624141,0.199898,0.00553,0.034147,0.457291,0.061334,0.04874,1.25788,0.02901,0.640161,0.012806,0.408017,0.494142,1.145705,1.337856,0.309777,1.593456,0.542844,0.521703,0.266356,0.390896,0.121461,0.054217,0.197168,0.392301,0.134538,0.143136,0.276927,0.113533,0.077351,0.128791,0.042692,0.0199,0.0109,0.007092,0.007515,0.007571,0.007441,0.009691
27,0.372118,0.0,0.0,0.116709,0.0,0.0,0.0,0.078718,0.0,0.0,0.04356,0.0,0.046895,0.0,0.010357,0.026666,0.0,0.079242,0.875814,1.247641,0.429021,0.024519,0.009748,0.014907,0.118523,1.570073,0.19853,0.009268,0.024823,0.427657,0.054152,0.031726,1.199453,0.022127,0.58581,0.01133,0.351773,0.434548,1.087596,1.237218,0.247105,1.216684,0.518964,0.450738,0.171026,0.304837,0.182756,0.061501,0.25722,0.455337,0.14901,0.112722,0.253236,0.07508,0.099557,0.056808,0.01456,0.012768,0.010038,0.006713,0.009272,0.005845,0.009195,0.010592
28,0.348232,0.0,0.0,0.116417,0.0,0.0,0.0,0.075763,0.0,0.0,0.010841,0.0,0.008973,0.0,0.041266,0.013774,0.0,0.063624,0.722182,1.047899,0.361871,0.016756,0.005533,0.006969,0.128632,1.475509,0.181823,0.008359,0.019574,0.409605,0.051799,0.021627,1.141259,0.015518,0.54602,0.009224,0.302049,0.350839,0.988055,1.114287,0.174787,0.81328,0.400018,0.359723,0.097088,0.274841,0.232789,0.08543,0.319905,0.431881,0.15757,0.069764,0.196786,0.0525,0.087091,0.019968,0.02366,0.022023,0.006946,0.008135,0.007586,0.008626,0.009316,0.01074
29,0.272508,0.0,0.0,0.085067,0.0,0.0,0.0,0.055659,0.0,0.0,0.01667,0.0,0.002768,0.0,0.022073,0.019745,0.0,0.05894,0.641075,0.914654,0.314807,0.016009,0.000365,0.011016,0.134318,1.383864,0.170099,0.006116,0.017788,0.39394,0.049965,0.014767,1.093317,0.011688,0.502189,0.006081,0.255496,0.297697,0.859547,0.979446,0.141479,0.533856,0.318932,0.302846,0.034072,0.208624,0.272018,0.108928,0.356116,0.365054,0.155762,0.067225,0.137919,0.043037,0.041654,0.04083,0.025847,0.012254,0.006565,0.007549,0.00831,0.00757,0.006807,0.010895
30,0.365104,0.0,0.0,0.05509,0.0,0.0,0.0,0.013922,0.0,0.0,0.019052,0.0,0.019559,0.0,0.019988,0.019834,0.0,0.035807,0.547659,0.804677,0.279261,0.014655,0.000918,0.013066,0.136689,1.30168,0.162075,0.010261,0.010111,0.373894,0.044996,0.010225,1.041194,0.006844,0.451557,0.004452,0.212726,0.243932,0.733982,0.848227,0.1393,0.349054,0.295309,0.27938,0.06978,0.139794,0.271652,0.113186,0.359953,0.301756,0.132597,0.055925,0.085331,0.025405,0.02587,0.043371,0.015723,0.007609,0.007728,0.009305,0.010427,0.007557,0.006093,0.009394
31,0.358396,0.0,0.0,0.012626,0.0,0.0,0.0,0.010296,0.0,0.0,0.009222,0.0,0.013946,0.0,0.014551,0.013407,0.0,0.041896,0.490762,0.703962,0.238422,0.018769,0.003062,0.008458,0.130477,1.213653,0.149071,0.005446,0.012398,0.359317,0.042394,0.012787,0.986188,0.008388,0.401349,0.004104,0.174595,0.19668,0.621816,0.695462,0.150996,0.294996,0.30608,0.274204,0.126708,0.084298,0.257395,0.120682,0.348335,0.273794,0.097594,0.077106,0.041162,0.025593,0.044627,0.038515,0.0091,0.010908,0.008812,0.007999,0.006915,0.007146,0.008402,0.009049
32,0.3365,0.0,0.0,0.005418,0.0,0.0,0.0,0.014709,0.0,0.0,0.005613,0.0,0.00293,0.0,0.015354,0.014944,0.0,0.027705,0.439712,0.649512,0.225176,0.016179,0.005517,0.010622,0.136437,1.159669,0.13915,0.00702,0.011561,0.352579,0.039884,0.009987,0.957689,0.007764,0.364707,0.00997,0.152581,0.147833,0.644959,0.485449,0.129666,0.322736,0.304273,0.224659,0.133954,0.076941,0.23589,0.097657,0.331576,0.212694,0.05827,0.055412,0.035305,0.01394,0.033091,0.027878,0.007526,0.00835,0.009426,0.00814,0.009066,0.010572,0.007422,0.009754
33,0.270898,0.0,0.0,0.002731,0.0,0.0,0.0,0.001266,0.0,0.0,0.007175,0.0,0.010246,0.0,0.018155,0.010506,0.0,0.032382,0.436877,0.638369,0.222396,0.014429,0.002768,0.009338,0.128854,1.136806,0.136878,0.006324,0.009159,0.345711,0.039439,0.007872,0.939561,0.006836,0.356369,0.01005,0.151206,0.14571,0.628217,0.472566,0.126598,0.325723,0.301143,0.219446,0.12963,0.073009,0.226875,0.098413,0.32146,0.21263,0.055151,0.052391,0.039402,0.017078,0.029995,0.02307,0.00933,0.012789,0.007276,0.010987,0.010817,0.013283,0.009794,0.016791
34,0.24997,0.0,0.0,0.010653,0.0,0.0,0.0,0.012488,0.0,0.0,0.001169,0.0,0.009615,0.0,0.015528,0.012525,0.0,0.031659,0.426214,0.621425,0.215947,0.015545,0.003688,0.006697,0.125967,1.108865,0.13272,0.004521,0.009036,0.337628,0.037934,0.009302,0.917238,0.010661,0.347583,0.010738,0.146339,0.14262,0.618269,0.461683,0.123433,0.308077,0.297381,0.213367,0.127722,0.073381,0.221008,0.096802,0.31691,0.205378,0.054304,0.049885,0.038517,0.013495,0.036592,0.0209,0.010342,0.009312,0.009494,0.009886,0.011768,0.011152,0.009545,0.010781
35,0.410293,0.0,0.0,0.179175,0.0,0.0,0.0,0.379779,0.0,0.0,0.655111,0.0,0.841915,0.0,0.61773,0.20263,0.0,0.165774,0.675984,0.706508,0.193636,0.325003,0.011406,0.154553,0.351152,1.238989,0.205407,0.129645,0.0706,0.276517,0.090223,0.107856,0.835529,0.29913,0.383011,0.071468,0.153084,0.272739,0.628664,0.994106,0.733243,0.536571,0.38602,0.213887,0.125296,0.264308,0.469712,0.398703,0.266751,0.330948,0.139332,0.134652,0.123473,0.031906,0.046325,0.022502,0.028095,0.014935,0.017442,0.011874,0.010801,0.009678,0.010019,0.012112
36,0.277438,0.0,0.0,0.209637,0.0,0.0,0.0,0.723893,0.0,0.0,1.709706,0.0,0.991974,0.0,0.294422,0.068971,0.0,0.016283,0.298944,1.616218,2.293043,1.098165,0.400403,0.108523,0.085415,1.231253,1.519188,0.734281,0.07683,0.252314,0.539472,0.428843,0.670545,1.080383,0.297392,0.58996,0.125773,0.699903,1.957076,0.64202,5.489749,2.91355,2.168256,0.268267,0.715372,1.354546,0.797666,0.684047,0.808893,0.779567,0.609085,0.232378,0.389248,0.074759,0.079019,0.025725,0.062381,0.047708,0.037469,0.015287,0.01129,0.012824,0.011524,0.014101
37,0.276779,0.0,0.0,0.183606,0.0,0.0,0.0,0.797371,0.0,0.0,1.641477,0.0,1.311933,0.0,0.574018,0.104799,0.0,0.05952,0.270697,1.275609,2.610352,1.499259,0.012241,0.030176,0.106107,0.488211,1.748709,0.941711,0.023233,0.175389,0.771529,0.436721,0.441215,1.157068,0.178648,0.60435,0.061127,0.723733,2.112684,0.413982,5.838394,2.759947,1.877888,0.557002,0.612495,0.850528,0.906593,0.772337,0.534758,0.618105,0.485925,0.188128,0.362237,0.043527,0.047876,0.040124,0.059622,0.045598,0.028672,0.013077,0.007733,0.00953,0.011447,0.012356
38,0.345823,0.0,0.0,0.279741,0.0,0.0,0.0,0.490975,0.0,0.0,0.482854,0.0,0.31132,0.0,0.267533,0.12971,0.0,0.067396,0.152978,1.346555,2.71242,1.331588,0.080669,0.014818,0.058983,0.383289,1.738852,0.899806,0.012457,0.114609,0.595285,0.336737,0.312337,1.059377,0.114412,0.47258,0.039509,0.669921,1.886452,0.214306,5.155602,2.463277,1.739096,0.467468,0.52436,0.720551,0.854668,0.729653,0.425456,0.545585,0.287655,0.178109,0.191226,0.019657,0.050378,0.026122,0.060641,0.040368,0.018166,0.008431,0.010572,0.009189,0.00895,0.013674
39,0.251539,0.0,0.0,0.055512,0.0,0.0,0.0,0.065226,0.0,0.0,0.182031,0.0,0.184693,0.0,0.100537,0.023991,0.0,0.025454,0.122063,1.529364,2.766615,1.382583,0.044822,0.014802,0.038192,0.269275,1.642573,0.852857,0.00579,0.073504,0.524095,0.298509,0.216878,0.991291,0.077795,0.407411,0.037845,0.6338,1.788413,0.207965,4.651722,2.174227,1.608423,0.519215,0.445291,0.675643,0.641286,0.597331,0.394181,0.453903,0.149904,0.155081,0.099773,0.022076,0.044652,0.027695,0.045395,0.027862,0.013748,0.011272,0.01016,0.009897,0.010684,0.014411
40,0.3457,0.0,0.0,0.097293,0.0,0.0,0.0,0.059948,0.0,0.0,0.115849,0.0,0.100664,0.0,0.086128,0.0213,0.0,0.009058,0.082934,1.21161,2.555732,1.288572,0.019464,0.024765,0.029851,0.176717,1.506734,0.784957,0.010081,0.053088,0.485223,0.275121,0.154445,0.950435,0.055424,0.367288,0.030186,0.588103,1.608321,0.127293,3.881247,1.98581,1.430841,0.388729,0.46207,0.583925,0.57759,0.506982,0.348344,0.342226,0.078893,0.132909,0.072484,0.014509,0.036041,0.01935,0.04086,0.023253,0.014804,0.007594,0.006906,0.007344,0.008511,0.013701
41,0.349443,0.0,0.0,0.162435,0.0,0.0,0.0,0.043026,0.0,0.0,0.111644,0.0,0.143497,0.0,0.08347,0.013903,0.0,0.004732,0.043162,1.437994,2.648897,1.264572,0.018895,0.00966,0.018332,0.137227,1.354527,0.686964,0.007159,0.035707,0.442549,0.240686,0.098552,0.918422,0.030849,0.319551,0.014419,0.544974,1.380686,0.135573,3.025198,1.540321,1.185174,0.456015,0.440302,0.517959,0.412019,0.36016,0.33353,0.229283,0.05173,0.109118,0.070258,0.020884,0.024823,0.020851,0.026794,0.015109,0.011154,0.00801,0.009775,0.009061,0.009293,0.013179
